1.0,52.54,33.942
2.0,52.518,20.129
3.0,52.525,9.127
4.0,52.516,-9.145
5.0,52.513,-20.142
6.0,52.507,-33.926
7.0,47.161,-9.119
8.0,47.176,9.105
9.0,41.582,-0.005
10.0,36.164,-20.126
11.0,36.165,-7.229
12.0,36.149,7.22
13.0,36.172,20.127
14.0,-0.002,33.94
15.0,0.001,9.14
0.001,9.14,99.928
0.0,0.0,100.0
-0.015,-9.108,99.947
19.0,-36.165,-7.233
20.0,-36.134,7.262
21.0,-36.144,20.134
22.0,-41.605,0.0
23.0,-47.153,-9.114
24.0,-47.142,9.149
25.0,-52.51,33.95
26.0,-52.507,20.148
27.0,-52.514,9.142
28.0,-52.522,-9.147
29.0,-52.541,-20.157
30.0,-52.545,-33.937
31.0,0.0,0.0
101.0,54.846,36.492
102.0,45.281,36.486
103.0,35.785,36.467
104.0,25.997,36.515
105.0,16.36,36.527
106.0,6.652,36.555
107.0,-3.121,36.548
108.0,-12.663,36.521
109.0,-22.429,36.47
110.0,-32.143,36.505
111.0,-42.101,36.533
112.0,-52.557,36.567
113.0,-55.016,36.471
114.0,-55.0,27.675
115.0,-45.412,27.691
116.0,-35.917,27.639
117.0,-26.552,27.743
118.0,-16.931,27.792
119.0,-7.585,27.613
120.0,2.213,27.619
121.0,12.237,27.613
122.0,22.117,27.584
123.0,31.948,27.654
124.0,41.858,27.453
125.0,51.647,27.662
126.0,55.111,27.614
127.0,55.092,18.234
128.0,45.385,18.135
129.0,35.849,18.106
130.0,26.172,18.083
131.0,16.572,18.037
132.0,6.849,18.046
133.0,-3.087,18.122
134.0,-12.885,18.177
135.0,-22.598,18.148
136.0,-32.535,18.099
137.0,-42.419,17.978
138.0,-52.205,18.022
139.0,-55.146,18.065
140.0,-55.091,9.132
141.0,-45.967,9.158
142.0,-36.391,9.136
143.0,-26.643,9.121
144.0,-16.747,9.077
145.0,-7.112,9.056
146.0,3.122,9.005
147.0,13.024,8.94
148.0,22.528,8.948
149.0,32.059,8.986
150.0,41.927,9.019
151.0,51.728,9.11
152.0,55.031,9.142
153.0,55.078,0.032
154.0,45.836,-0.056
155.0,36.277,0.037
156.0,26.597,0.001
157.0,16.884,0.025
158.0,6.9,0.01
159.0,-2.707,0.018
160.0,-12.102,0.056
161.0,-21.55,0.128
162.0,-31.156,0.046
163.0,-40.574,0.027
164.0,-50.423,-0.003
165.0,-54.948,0.077
166.0,-55.124,-9.168
167.0,-45.426,-9.134
168.0,-35.7,-9.2
169.0,-26.072,-9.09
170.0,-16.298,-8.986
171.0,-6.743,-9.151
172.0,2.695,-9.092
173.0,12.091,-9.159
174.0,21.476,-9.391
175.0,30.716,-9.323
176.0,40.164,-9.304
177.0,49.812,-9.245
178.0,55.096,-9.205
179.0,55.106,-18.854
180.0,45.602,-18.79
181.0,35.994,-18.817
182.0,26.499,-18.772
183.0,16.986,-18.712
184.0,7.42,-18.729
185.0,-2.456,-18.821
186.0,-12.172,-18.852
187.0,-21.659,-18.847
188.0,-31.212,-18.771
189.0,-40.697,-18.736
190.0,-50.423,-18.817
191.0,-55.082,-18.876
192.0,-54.897,-27.791
193.0,-45.581,-27.754
194.0,-36.188,-27.723
195.0,-26.677,-27.657
196.0,-17.222,-27.724
197.0,-7.349,-27.738
198.0,2.279,-27.683
199.0,11.851,-27.731
200.0,21.433,-27.802
201.0,30.732,-27.775
202.0,40.337,-27.741
203.0,49.74,-27.934
204.0,55.052,-27.944
205.0,55.088,-36.345
206.0,45.698,-36.22
207.0,36.343,-36.295
208.0,27.147,-36.314
209.0,17.513,-36.35
210.0,8.116,-36.316
211.0,-1.203,-36.285
212.0,-10.565,-36.404
213.0,-19.938,-36.311
214.0,-29.561,-36.388
215.0,-39.053,-36.296
216.0,-48.573,-36.25
217.0,-55.003,-36.387
